profile_id,nutrient_code,target_value,min_value,max_value,unit,priority
523211a5-6c8a-5810-96a1-98250553291e,energy_reg_kcal_100g,2670.0,,,kcal,100
523211a5-6c8a-5810-96a1-98250553291e,protein_625_g_100g,125.6,,,g,90
523211a5-6c8a-5810-96a1-98250553291e,fat_g_100g,62.8,,,g,80
523211a5-6c8a-5810-96a1-98250553291e,carbs_g_100g,400.6,,,g,70
523211a5-6c8a-5810-96a1-98250553291e,fiber_g_100g,37.4,,,g,60
523211a5-6c8a-5810-96a1-98250553291e,sodium_mg_100g,,,2300.0,mg,50
84ffe2a1-13ba-510a-b068-3e08101785da,energy_reg_kcal_100g,2103.0,,,kcal,100
84ffe2a1-13ba-510a-b068-3e08101785da,protein_625_g_100g,106.6,,,g,90
84ffe2a1-13ba-510a-b068-3e08101785da,fat_g_100g,47.4,,,g,80
84ffe2a1-13ba-510a-b068-3e08101785da,carbs_g_100g,312.5,,,g,70
84ffe2a1-13ba-510a-b068-3e08101785da,fiber_g_100g,29.4,,,g,60
84ffe2a1-13ba-510a-b068-3e08101785da,sodium_mg_100g,,,2000.0,mg,50
f23fe613-6aa0-5694-9fd5-94b8f9351f2b,energy_reg_kcal_100g,2833.0,,,kcal,100
f23fe613-6aa0-5694-9fd5-94b8f9351f2b,protein_625_g_100g,147.2,,,g,90
f23fe613-6aa0-5694-9fd5-94b8f9351f2b,fat_g_100g,73.6,,,g,80
f23fe613-6aa0-5694-9fd5-94b8f9351f2b,carbs_g_100g,395.4,,,g,70
f23fe613-6aa0-5694-9fd5-94b8f9351f2b,fiber_g_100g,39.7,,,g,60
f23fe613-6aa0-5694-9fd5-94b8f9351f2b,sodium_mg_100g,,,2000.0,mg,50
5d111b58-899a-50e0-a3a6-dabc9d4b1318,energy_reg_kcal_100g,2141.0,,,kcal,100
5d111b58-899a-50e0-a3a6-dabc9d4b1318,protein_625_g_100g,108.8,,,g,90
5d111b58-899a-50e0-a3a6-dabc9d4b1318,fat_g_100g,54.4,,,g,80
5d111b58-899a-50e0-a3a6-dabc9d4b1318,carbs_g_100g,304.1,,,g,70
5d111b58-899a-50e0-a3a6-dabc9d4b1318,fiber_g_100g,30.0,,,g,60
5d111b58-899a-50e0-a3a6-dabc9d4b1318,sodium_mg_100g,,,2000.0,mg,50
5d2357d8-a12c-5b3f-ba27-e4e36b7e6f5a,energy_reg_kcal_100g,2028.0,,,kcal,100
5d2357d8-a12c-5b3f-ba27-e4e36b7e6f5a,protein_625_g_100g,112.0,,,g,90
5d2357d8-a12c-5b3f-ba27-e4e36b7e6f5a,fat_g_100g,56.0,,,g,80
5d2357d8-a12c-5b3f-ba27-e4e36b7e6f5a,carbs_g_100g,269.0,,,g,70
5d2357d8-a12c-5b3f-ba27-e4e36b7e6f5a,fiber_g_100g,28.4,,,g,60
5d2357d8-a12c-5b3f-ba27-e4e36b7e6f5a,sodium_mg_100g,,,2000.0,mg,50
7b37adab-2734-55da-9313-699686ed7bb5,energy_reg_kcal_100g,1572.0,,,kcal,100
7b37adab-2734-55da-9313-699686ed7bb5,protein_625_g_100g,56.0,,,g,90
7b37adab-2734-55da-9313-699686ed7bb5,fat_g_100g,28.0,,,g,80
7b37adab-2734-55da-9313-699686ed7bb5,carbs_g_100g,273.9,,,g,70
7b37adab-2734-55da-9313-699686ed7bb5,fiber_g_100g,22.0,,,g,60
7b37adab-2734-55da-9313-699686ed7bb5,sodium_mg_100g,,,2000.0,mg,50
